employee_id,name,role,department,warehouse_id,warehouse_name,hire_date,termination_date,annual_salary_inr,safety_incidents,performance_rating,status
EMP0079,Kavitha Naidu,Picking & Packing,Warehouse Operations,W4,Hyderabad DC,2025-02-28,,316931.5,2,3.0,Active
EMP0080,Anitha Gowda,Picking & Packing,Warehouse Operations,W4,Hyderabad DC,2024-11-17,,478365.49,0,3.6,Active
EMP0081,Ravi Shetty,Sales,Sales,,HQ - Bengaluru,2023-05-12,,503500.55,0,4.7,Active
EMP0082,Deepika Iyengar,Sales,Sales,,HQ - Bengaluru,2023-07-02,,1106185.21,0,4.1,Active
EMP0083,Pallavi Menon,Sales,Sales,,HQ - Bengaluru,2025-07-07,,1111146.15,0,3.0,Active
EMP0084,Ramesh Rao,Sales,Sales,,HQ - Bengaluru,2021-12-30,2024-06-06,650771.16,0,4.1,Terminated
EMP0085,Vinay Kamath,Sales,Sales,,HQ - Bengaluru,2022-11-21,,703700.7,0,4.1,Active
EMP0086,Harish Bhat,Account Management,Account Management,,HQ - Bengaluru,2020-11-20,,517359.79,0,2.8,Active
EMP0087,Pallavi Pillai,Account Management,Account Management,,HQ - Bengaluru,2022-12-18,,796362.95,0,4.6,Active
EMP0088,Manoj Bhat,Account Management,Account Management,,HQ - Bengaluru,2023-08-29,2024-02-04,684392.12,0,4.5,Terminated
EMP0089,Harish Iyengar,Account Management,Account Management,,HQ - Bengaluru,2021-05-14,,648723.73,0,4.4,Active
EMP0090,Ganesh Pillai,Finance,Finance,,HQ - Bengaluru,2024-10-11,,535112.8,0,4.8,Active
EMP0091,Anitha Bhat,Finance,Finance,,HQ - Bengaluru,2019-10-04,,712428.03,0,4.3,Active
EMP0092,Ajay Iyengar,Finance,Finance,,HQ - Bengaluru,2020-12-24,,805914.54,0,3.7,Active
EMP0093,Ramesh Iyengar,Finance,Finance,,HQ - Bengaluru,2022-09-15,,688698.31,0,4.3,Active
EMP0094,Suraj Iyengar,Finance,Finance,,HQ - Bengaluru,2023-02-05,,467649.93,0,4.6,Active
EMP0095,Ajay Bhat,Finance,Finance,,HQ - Bengaluru,2023-11-10,,757402.63,0,4.8,Active
EMP0096,Anitha Nair,Finance,Finance,,HQ - Bengaluru,2021-03-07,,699994.47,0,4.1,Active
EMP0097,Arun Pillai,Finance,Finance,,HQ - Bengaluru,2019-08-28,,690650.3,0,4.9,Active
EMP0098,Suraj Bhat,Admin/HR,Admin/HR,,HQ - Bengaluru,2019-11-17,,355810.91,0,4.3,Active
EMP0099,Kavitha Menon,Admin/HR,Admin/HR,,HQ - Bengaluru,2019-06-23,,539804.09,0,4.6,Active
EMP0100,Kavitha Nair,Admin/HR,Admin/HR,,HQ - Bengaluru,2022-01-01,2025-02-25,567117.46,0,4.1,Terminated
EMP0101,Preethi Nair,IT,IT,,HQ - Bengaluru,2023-12-08,,545370.58,0,3.6,Active
EMP0102,Ravi Bhat,IT,IT,,HQ - Bengaluru,2023-08-10,,1066946.47,0,3.5,Active
EMP0103,Arun Gowda,IT,IT,,HQ - Bengaluru,2019-06-09,2025-11-08,516219.69,0,4.8,Terminated
EMP0104,Ramesh Nair,IT,IT,,HQ - Bengaluru,2023-08-05,,883985.25,0,4.7,Active
EMP0105,Arun Iyengar,IT,IT,,HQ - Bengaluru,2020-07-26,,810353.75,0,4.0,Active
EMP0106,Preethi Naidu,IT,IT,,HQ - Bengaluru,2024-10-24,,586499.68,0,3.8,Active
EMP0107,Deepika Bhat,IT,IT,,HQ - Bengaluru,2023-07-02,,698212.42,0,4.2,Active
