customer_id,name,signup_date,loyalty_tier,total_orders,total_spent,last_order_date,email_opt_in,churned_flag
C0086,Ritu Iyer,2025-10-20,Bronze,9,75.58,2025-08-23,1,1
C0087,Ritu Menon,2024-05-21,Silver,7,48.43,2025-11-25,1,0
C0088,Sanjay Pillai,2024-12-05,Gold,5,70.79,2025-05-22,0,1
C0089,Nisha Nair,2024-07-20,Silver,3,45.05,2025-12-10,1,0
C0090,Divya Iyer,2025-02-01,Bronze,6,72.97,2025-11-26,1,0
C0091,Divya Nair,2025-10-12,Bronze,4,42.35,2025-12-08,1,0
C0092,Priya Kulkarni,2024-07-12,Bronze,5,51.72,2025-12-06,1,0
C0093,Rahul Shetty,2024-01-15,Bronze,6,116.03,2025-04-06,0,1
C0094,Karthik Shetty,2025-08-18,Silver,2,27.3,2025-11-27,0,0
C0095,Rohan Rao,2025-03-01,Gold,9,181.78,2025-11-26,0,0
C0096,Rohan Gupta,2024-07-20,Silver,7,123.46,2025-12-09,1,0
C0097,Divya Rao,2024-06-30,Silver,5,45.54,2025-11-28,0,0
C0098,Sneha Kulkarni,2025-10-27,Bronze,9,68.13,2025-11-30,1,0
C0099,Karthik Reddy,2024-01-15,Bronze,9,59.42,2025-11-24,1,0
C0100,Kavya Menon,2025-03-23,Silver,3,44.0,2025-11-23,0,0
C0101,Rahul Gupta,2024-10-02,Bronze,4,78.46,2025-11-21,1,0
C0102,Manoj Gupta,2025-05-29,Bronze,7,142.27,2025-12-10,0,0
C0103,Pooja Menon,2024-02-27,Silver,2,36.91,2025-12-08,1,0
C0104,Sanjay Nair,2025-02-19,Silver,6,50.55,2025-12-04,0,0
C0105,Nisha Rao,2025-01-11,Silver,9,63.0,2025-11-23,1,0
C0106,Meera Nair,2025-02-12,Bronze,6,128.91,2025-12-08,1,0
C0107,Meera Nair,2025-10-14,Gold,10,153.08,2025-11-29,0,0
C0108,Deepak Iyer,2024-06-14,Silver,10,65.93,2025-12-09,1,0
C0109,Ananya Pillai,2024-03-03,Bronze,9,58.97,2025-11-26,1,0
C0110,Sneha Kulkarni,2025-03-27,Silver,9,188.13,2025-11-23,0,0
C0111,Lakshmi Kulkarni,2025-09-21,Bronze,5,59.55,2025-11-25,1,0
C0112,Divya Menon,2024-03-23,Bronze,6,106.98,2025-12-04,1,0
C0113,Aditya Gupta,2024-10-06,Silver,4,45.25,2025-11-28,1,0
C0114,Ritu Nair,2025-07-21,Bronze,10,162.65,2025-12-02,0,0
C0115,Aditya Nair,2024-01-29,Bronze,11,86.26,2025-11-27,1,0
C0116,Rohan Shetty,2025-09-10,Bronze,8,58.95,2025-06-06,0,1
C0117,Rohan Shetty,2024-10-18,Silver,5,41.69,2025-12-03,1,0
C0118,Deepak Gupta,2025-01-31,Silver,4,75.23,2025-11-24,0,0
C0119,Lakshmi Iyer,2024-04-10,Bronze,9,110.91,2025-06-16,1,1
C0120,Rahul Gupta,2025-01-12,Bronze,3,64.85,2025-11-21,0,0
C0121,Vikram Kulkarni,2025-04-22,Silver,7,136.8,2025-12-07,0,0
C0122,Sneha Iyer,2025-11-04,Silver,7,134.01,2025-05-08,1,1
C0123,Priya Rao,2024-03-11,Bronze,5,72.96,2025-11-26,0,0
C0124,Arjun Kulkarni,2024-01-22,Bronze,7,143.05,2025-12-10,1,0
C0125,Sanjay Rao,2025-03-01,Silver,4,66.02,2025-11-25,1,0
C0126,Aditya Pillai,2024-05-16,Gold,6,46.62,2025-11-22,0,0
C0127,Sanjay Menon,2024-10-02,Bronze,7,119.44,2025-05-03,0,1
C0128,Deepak Nair,2025-09-27,Bronze,2,17.07,2025-12-01,1,0
C0129,Ananya Sharma,2025-07-27,Silver,6,57.44,2025-04-10,1,1
C0130,Karthik Sharma,2025-06-24,Silver,3,26.39,2025-12-04,1,0
